q_id,q_type,question,model,N,refuses_pct,no_blank_pct,yes_blank_pct,no_prior_pct,yes_prior_pct,image_dependent_pct,lang_prior_pct,img_dep_acc_pct,dominant_behaviour
AW_A_01,action,Should the driver turn on their headlights right now?,InternVL3,106,0.0,69.8,0.0,30.2,0.0,69.8,30.2,63.5,Image-dependent
AW_A_02,action,Should the driver slow down below the speed limit given current conditions?,Moondream,84,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,Yes-prior (text)
AW_A_02,action,Should the driver slow down below the speed limit given current conditions?,PaliGemma,84,100.0,0.0,0.0,0.0,0.0,100.0,0.0,58.3,Refuses w/o image
AW_A_02,action,Should the driver slow down below the speed limit given current conditions?,SmolVLM,84,0.0,76.2,0.0,23.8,0.0,76.2,23.8,84.4,Image-dependent
AW_A_02,action,Should the driver slow down below the speed limit given current conditions?,LLaVA-OV,84,0.0,0.0,21.4,0.0,78.6,21.4,78.6,100.0,Yes-prior (text)
AW_A_02,action,Should the driver slow down below the speed limit given current conditions?,InternVL3,84,0.0,0.0,15.5,0.0,84.5,15.5,84.5,100.0,Yes-prior (text)
AW_A_03,action,Should the driver use windscreen wipers right now?,Moondream,108,0.0,97.2,0.0,0.0,0.0,97.2,0.0,46.3,Image-dependent
AW_A_03,action,Should the driver use windscreen wipers right now?,PaliGemma,108,100.0,0.0,0.0,0.0,0.0,100.0,0.0,59.3,Refuses w/o image
AW_A_03,action,Should the driver use windscreen wipers right now?,SmolVLM,108,0.0,44.4,0.0,55.6,0.0,44.4,55.6,66.7,Image-dependent
AW_A_03,action,Should the driver use windscreen wipers right now?,LLaVA-OV,108,0.0,51.9,0.0,48.1,0.0,51.9,48.1,71.4,Image-dependent
AW_A_03,action,Should the driver use windscreen wipers right now?,InternVL3,108,0.0,53.7,0.0,46.3,0.0,53.7,46.3,74.1,Image-dependent
AW_A_04,action,Is it safe to attempt an overtake of the vehicle ahead in these conditions?,Moondream,68,0.0,1.5,0.0,98.5,0.0,1.5,98.5,100.0,No-prior (text)
AW_A_04,action,Is it safe to attempt an overtake of the vehicle ahead in these conditions?,PaliGemma,68,0.0,0.0,0.0,75.0,0.0,0.0,75.0,0.0,No-prior (text)
AW_A_04,action,Is it safe to attempt an overtake of the vehicle ahead in these conditions?,SmolVLM,68,0.0,0.0,0.0,100.0,0.0,0.0,100.0,,No-prior (text)
AW_A_04,action,Is it safe to attempt an overtake of the vehicle ahead in these conditions?,LLaVA-OV,68,0.0,0.0,0.0,100.0,0.0,0.0,100.0,,No-prior (text)
AW_A_04,action,Is it safe to attempt an overtake of the vehicle ahead in these conditions?,InternVL3,68,0.0,1.5,0.0,98.5,0.0,1.5,98.5,100.0,No-prior (text)
AW_A_06,action,Would you feel comfortable pulling over and stopping on the road here?,Moondream,42,0.0,38.1,0.0,61.9,0.0,38.1,61.9,56.2,No-prior (text)
AW_A_06,action,Would you feel comfortable pulling over and stopping on the road here?,PaliGemma,42,100.0,0.0,0.0,0.0,0.0,100.0,0.0,66.7,Refuses w/o image
AW_A_06,action,Would you feel comfortable pulling over and stopping on the road here?,SmolVLM,42,0.0,16.7,0.0,83.3,0.0,16.7,83.3,57.1,No-prior (text)
AW_A_06,action,Would you feel comfortable pulling over and stopping on the road here?,LLaVA-OV,42,0.0,4.8,0.0,95.2,0.0,4.8,95.2,0.0,No-prior (text)
AW_A_06,action,Would you feel comfortable pulling over and stopping on the road here?,InternVL3,42,0.0,0.0,0.0,100.0,0.0,0.0,100.0,,No-prior (text)
AW_H_01,hazard,Is there a risk of a hidden vehicle or obstacle emerging suddenly from the scene?,Moondream,102,0.0,99.0,0.0,1.0,0.0,99.0,1.0,66.3,Image-dependent
AW_H_01,hazard,Is there a risk of a hidden vehicle or obstacle emerging suddenly from the scene?,PaliGemma,102,0.0,0.0,5.9,0.0,80.4,5.9,80.4,20.0,Yes-prior (text)
AW_H_01,hazard,Is there a risk of a hidden vehicle or obstacle emerging suddenly from the scene?,SmolVLM,102,0.0,11.8,0.0,88.2,0.0,11.8,88.2,100.0,No-prior (text)
AW_H_01,hazard,Is there a risk of a hidden vehicle or obstacle emerging suddenly from the scene?,LLaVA-OV,102,0.0,57.8,0.0,42.2,0.0,57.8,42.2,88.1,Image-dependent
AW_H_01,hazard,Is there a risk of a hidden vehicle or obstacle emerging suddenly from the scene?,InternVL3,102,0.0,99.0,0.0,1.0,0.0,99.0,1.0,66.3,Image-dependent
AW_H_03,hazard,Is there a pedestrian in a position where they could step into the vehicle's path?,Moondream,101,0.0,99.0,0.0,1.0,0.0,99.0,1.0,13.0,Image-dependent
AW_H_03,hazard,Is there a pedestrian in a position where they could step into the vehicle's path?,PaliGemma,101,0.0,43.6,0.0,50.5,0.0,43.6,50.5,24.0,Image-dependent
AW_H_03,hazard,Is there a pedestrian in a position where they could step into the vehicle's path?,SmolVLM,101,0.0,8.9,0.0,91.1,0.0,8.9,91.1,88.9,No-prior (text)
AW_H_03,hazard,Is there a pedestrian in a position where they could step into the vehicle's path?,LLaVA-OV,101,0.0,0.0,85.1,0.0,14.9,85.1,14.9,95.3,Image-dependent
AW_H_03,hazard,Is there a pedestrian in a position where they could step into the vehicle's path?,InternVL3,101,0.0,13.9,0.0,86.1,0.0,13.9,86.1,85.7,No-prior (text)
AW_H_04,hazard,Could a cyclist or motorcyclist be hidden somewhere in this scene?,Moondream,91,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,Yes-prior (text)
AW_H_04,hazard,Could a cyclist or motorcyclist be hidden somewhere in this scene?,PaliGemma,91,0.0,0.0,6.6,0.0,92.3,6.6,92.3,85.7,Yes-prior (text)
AW_H_04,hazard,Could a cyclist or motorcyclist be hidden somewhere in this scene?,SmolVLM,91,0.0,9.9,0.0,90.1,0.0,9.9,90.1,100.0,No-prior (text)
AW_H_04,hazard,Could a cyclist or motorcyclist be hidden somewhere in this scene?,LLaVA-OV,91,0.0,51.6,0.0,48.4,0.0,51.6,48.4,80.9,Image-dependent
AW_H_04,hazard,Could a cyclist or motorcyclist be hidden somewhere in this scene?,InternVL3,91,0.0,78.0,0.0,22.0,0.0,78.0,22.0,81.7,Image-dependent
AW_H_05,hazard,Is the road surface likely to cause the vehicle to slide or lose traction?,Moondream,91,100.0,0.0,0.0,0.0,0.0,100.0,0.0,19.8,Refuses w/o image
AW_H_05,hazard,Is the road surface likely to cause the vehicle to slide or lose traction?,PaliGemma,91,100.0,0.0,0.0,0.0,0.0,100.0,0.0,91.2,Refuses w/o image
AW_H_05,hazard,Is the road surface likely to cause the vehicle to slide or lose traction?,SmolVLM,91,0.0,54.9,0.0,45.1,0.0,54.9,45.1,90.0,Image-dependent
AW_H_05,hazard,Is the road surface likely to cause the vehicle to slide or lose traction?,LLaVA-OV,91,0.0,0.0,31.9,0.0,68.1,31.9,68.1,100.0,Yes-prior (text)
AW_H_05,hazard,Is the road surface likely to cause the vehicle to slide or lose traction?,InternVL3,91,0.0,0.0,27.5,0.0,72.5,27.5,72.5,92.0,Yes-prior (text)
AW_H_06,hazard,Is there a risk of glare from headlights or wet road reflections in this scene?,Moondream,93,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,Yes-prior (text)
AW_H_06,hazard,Is there a risk of glare from headlights or wet road reflections in this scene?,PaliGemma,93,100.0,0.0,0.0,0.0,0.0,100.0,0.0,28.0,Refuses w/o image
AW_H_06,hazard,Is there a risk of glare from headlights or wet road reflections in this scene?,SmolVLM,93,0.0,90.3,0.0,9.7,0.0,90.3,9.7,22.6,Image-dependent
AW_H_06,hazard,Is there a risk of glare from headlights or wet road reflections in this scene?,LLaVA-OV,93,0.0,64.5,0.0,35.5,0.0,64.5,35.5,31.7,Image-dependent
AW_H_06,hazard,Is there a risk of glare from headlights or wet road reflections in this scene?,InternVL3,93,0.0,74.2,0.0,25.8,0.0,74.2,25.8,26.1,Image-dependent
AW_P_01,perception,Can you clearly make out the shape of vehicles ahead on the road?,Moondream,87,0.0,6.9,0.0,93.1,0.0,6.9,93.1,83.3,No-prior (text)
AW_P_01,perception,Can you clearly make out the shape of vehicles ahead on the road?,PaliGemma,87,0.0,46.0,0.0,54.0,0.0,46.0,54.0,65.0,Image-dependent
AW_P_01,perception,Can you clearly make out the shape of vehicles ahead on the road?,SmolVLM,87,0.0,10.3,0.0,89.7,0.0,10.3,89.7,66.7,No-prior (text)
AW_P_01,perception,Can you clearly make out the shape of vehicles ahead on the road?,LLaVA-OV,87,0.0,12.6,0.0,87.4,0.0,12.6,87.4,90.9,No-prior (text)
AW_P_01,perception,Can you clearly make out the shape of vehicles ahead on the road?,InternVL3,87,0.0,85.1,0.0,14.9,0.0,85.1,14.9,45.9,Image-dependent
AW_P_02,perception,Is it possible to read the colour of the traffic lights in this scene?,Moondream,40,0.0,2.5,0.0,97.5,0.0,2.5,97.5,100.0,No-prior (text)
AW_P_02,perception,Is it possible to read the colour of the traffic lights in this scene?,PaliGemma,40,0.0,27.5,0.0,72.5,0.0,27.5,72.5,81.8,No-prior (text)
AW_P_02,perception,Is it possible to read the colour of the traffic lights in this scene?,SmolVLM,40,0.0,2.5,0.0,97.5,0.0,2.5,97.5,100.0,No-prior (text)
AW_P_02,perception,Is it possible to read the colour of the traffic lights in this scene?,LLaVA-OV,40,0.0,25.0,0.0,75.0,0.0,25.0,75.0,80.0,No-prior (text)
AW_P_02,perception,Is it possible to read the colour of the traffic lights in this scene?,InternVL3,40,0.0,75.0,0.0,25.0,0.0,75.0,25.0,93.3,Image-dependent
AW_P_03,perception,Are any road signs visible that you could read from the driver's seat?,Moondream,94,0.0,28.7,0.0,71.3,0.0,28.7,71.3,51.9,No-prior (text)
AW_P_03,perception,Are any road signs visible that you could read from the driver's seat?,PaliGemma,94,0.0,22.3,0.0,77.7,0.0,22.3,77.7,61.9,No-prior (text)
AW_P_03,perception,Are any road signs visible that you could read from the driver's seat?,SmolVLM,94,0.0,11.7,0.0,88.3,0.0,11.7,88.3,72.7,No-prior (text)
AW_P_03,perception,Are any road signs visible that you could read from the driver's seat?,LLaVA-OV,94,0.0,7.4,0.0,92.6,0.0,7.4,92.6,57.1,No-prior (text)
AW_P_03,perception,Are any road signs visible that you could read from the driver's seat?,InternVL3,94,0.0,27.7,0.0,72.3,0.0,27.7,72.3,61.5,No-prior (text)
AW_P_04,perception,Can you see far enough ahead to safely react to a sudden hazard?,Moondream,100,0.0,11.0,0.0,31.0,0.0,11.0,31.0,2.9,Mixed
AW_P_04,perception,Can you see far enough ahead to safely react to a sudden hazard?,PaliGemma,100,0.0,49.0,0.0,50.0,0.0,49.0,50.0,52.0,Image-dependent
AW_P_04,perception,Can you see far enough ahead to safely react to a sudden hazard?,SmolVLM,100,0.0,4.0,0.0,96.0,0.0,4.0,96.0,100.0,No-prior (text)
AW_P_04,perception,Can you see far enough ahead to safely react to a sudden hazard?,LLaVA-OV,100,0.0,0.0,66.0,0.0,34.0,66.0,34.0,84.8,Image-dependent
AW_P_04,perception,Can you see far enough ahead to safely react to a sudden hazard?,InternVL3,100,0.0,0.0,38.0,0.0,62.0,38.0,62.0,89.5,Yes-prior (text)
AW_P_05,perception,Is there a pedestrian visible anywhere near the road in this scene?,Moondream,108,0.0,21.3,0.0,78.7,0.0,21.3,78.7,82.6,No-prior (text)
AW_P_05,perception,Is there a pedestrian visible anywhere near the road in this scene?,PaliGemma,108,0.0,13.9,0.0,86.1,0.0,13.9,86.1,73.3,No-prior (text)
AW_P_05,perception,Is there a pedestrian visible anywhere near the road in this scene?,SmolVLM,108,0.0,9.3,0.0,90.7,0.0,9.3,90.7,100.0,No-prior (text)
AW_P_05,perception,Is there a pedestrian visible anywhere near the road in this scene?,LLaVA-OV,108,0.0,14.8,0.0,85.2,0.0,14.8,85.2,87.5,No-prior (text)
AW_P_05,perception,Is there a pedestrian visible anywhere near the road in this scene?,InternVL3,108,0.0,17.6,0.0,82.4,0.0,17.6,82.4,94.7,No-prior (text)
AW_P_06,perception,"Is the road surface visible enough to judge whether it is wet, icy, or dry?",Moondream,107,0.0,14.0,0.0,77.6,0.0,14.0,77.6,50.0,No-prior (text)
AW_P_06,perception,"Is the road surface visible enough to judge whether it is wet, icy, or dry?",PaliGemma,107,0.0,68.2,0.0,31.8,0.0,68.2,31.8,50.7,Image-dependent
AW_P_06,perception,"Is the road surface visible enough to judge whether it is wet, icy, or dry?",SmolVLM,107,0.0,1.9,0.0,98.1,0.0,1.9,98.1,100.0,No-prior (text)
AW_P_06,perception,"Is the road surface visible enough to judge whether it is wet, icy, or dry?",LLaVA-OV,107,0.0,35.5,0.0,64.5,0.0,35.5,64.5,76.3,No-prior (text)
AW_P_06,perception,"Is the road surface visible enough to judge whether it is wet, icy, or dry?",InternVL3,107,0.0,91.6,0.0,8.4,0.0,91.6,8.4,58.2,Image-dependent
AW_P_07,perception,Can you tell from this image whether there is a vehicle close enough to be a collision risk?,Moondream,102,0.0,18.6,0.0,81.4,0.0,18.6,81.4,78.9,No-prior (text)
AW_P_07,perception,Can you tell from this image whether there is a vehicle close enough to be a collision risk?,PaliGemma,102,100.0,0.0,0.0,0.0,0.0,100.0,0.0,40.2,Refuses w/o image
AW_P_07,perception,Can you tell from this image whether there is a vehicle close enough to be a collision risk?,SmolVLM,102,0.0,1.0,0.0,99.0,0.0,1.0,99.0,100.0,No-prior (text)
AW_P_07,perception,Can you tell from this image whether there is a vehicle close enough to be a collision risk?,LLaVA-OV,102,0.0,69.6,0.0,30.4,0.0,69.6,30.4,83.1,Image-dependent
AW_P_07,perception,Can you tell from this image whether there is a vehicle close enough to be a collision risk?,InternVL3,102,0.0,76.5,0.0,23.5,0.0,76.5,23.5,78.2,Image-dependent
AW_P_08,perception,Is the sky visible and distinguishable from the road in this scene?,Moondream,107,0.0,50.5,0.0,49.5,0.0,50.5,49.5,63.0,Image-dependent
AW_P_08,perception,Is the sky visible and distinguishable from the road in this scene?,PaliGemma,107,0.0,43.9,0.0,56.1,0.0,43.9,56.1,66.0,Image-dependent
AW_P_08,perception,Is the sky visible and distinguishable from the road in this scene?,SmolVLM,107,0.0,34.6,0.0,65.4,0.0,34.6,65.4,64.9,No-prior (text)
AW_P_08,perception,Is the sky visible and distinguishable from the road in this scene?,LLaVA-OV,107,0.0,44.9,0.0,55.1,0.0,44.9,55.1,64.6,Image-dependent
AW_P_08,perception,Is the sky visible and distinguishable from the road in this scene?,InternVL3,107,0.0,53.3,0.0,46.7,0.0,53.3,46.7,57.9,Image-dependent
AW_S_01,scene,Is this a nighttime driving scene?,Moondream,104,0.0,38.5,0.0,61.5,0.0,38.5,61.5,87.5,No-prior (text)
AW_S_01,scene,Is this a nighttime driving scene?,PaliGemma,104,100.0,0.0,0.0,0.0,0.0,100.0,0.0,97.1,Refuses w/o image
AW_S_01,scene,Is this a nighttime driving scene?,SmolVLM,104,0.0,35.6,0.0,64.4,0.0,35.6,64.4,94.6,No-prior (text)
AW_S_01,scene,Is this a nighttime driving scene?,LLaVA-OV,104,0.0,0.0,64.4,0.0,35.6,64.4,35.6,100.0,Image-dependent
AW_S_01,scene,Is this a nighttime driving scene?,InternVL3,104,0.0,0.0,64.4,0.0,35.6,64.4,35.6,100.0,Image-dependent
AW_S_02,scene,Is this a highway or motorway rather than an urban or residential road?,Moondream,99,0.0,69.7,0.0,4.0,0.0,69.7,4.0,23.2,Image-dependent
AW_S_02,scene,Is this a highway or motorway rather than an urban or residential road?,PaliGemma,99,100.0,0.0,0.0,0.0,0.0,100.0,0.0,59.6,Refuses w/o image
AW_S_02,scene,Is this a highway or motorway rather than an urban or residential road?,SmolVLM,99,0.0,11.1,0.0,88.9,0.0,11.1,88.9,90.9,No-prior (text)
AW_S_02,scene,Is this a highway or motorway rather than an urban or residential road?,LLaVA-OV,99,0.0,22.2,0.0,77.8,0.0,22.2,77.8,77.3,No-prior (text)
AW_S_02,scene,Is this a highway or motorway rather than an urban or residential road?,InternVL3,99,0.0,0.0,80.8,0.0,19.2,80.8,19.2,83.8,Image-dependent
AW_S_04,scene,Would this scene look significantly different under clear daytime conditions?,Moondream,108,0.0,0.0,0.0,0.0,100.0,0.0,100.0,,Yes-prior (text)
AW_S_04,scene,Would this scene look significantly different under clear daytime conditions?,PaliGemma,108,0.0,30.6,0.0,69.4,0.0,30.6,69.4,93.9,No-prior (text)
AW_S_04,scene,Would this scene look significantly different under clear daytime conditions?,SmolVLM,108,0.0,15.7,0.0,84.3,0.0,15.7,84.3,88.2,No-prior (text)
AW_S_04,scene,Would this scene look significantly different under clear daytime conditions?,LLaVA-OV,108,0.0,0.0,21.3,0.0,78.7,21.3,78.7,95.7,Yes-prior (text)
AW_S_04,scene,Would this scene look significantly different under clear daytime conditions?,InternVL3,108,0.0,0.0,32.4,0.0,67.6,32.4,67.6,62.9,Yes-prior (text)
AW_S_05,scene,Is the overall light level sufficient to drive without headlights?,Moondream,104,0.0,30.8,0.0,57.7,0.0,30.8,57.7,72.7,No-prior (text)
AW_S_05,scene,Is the overall light level sufficient to drive without headlights?,PaliGemma,104,0.0,40.4,0.0,59.6,0.0,40.4,59.6,95.2,Image-dependent
AW_S_05,scene,Is the overall light level sufficient to drive without headlights?,SmolVLM,104,0.0,29.8,0.0,70.2,0.0,29.8,70.2,100.0,No-prior (text)
AW_S_05,scene,Is the overall light level sufficient to drive without headlights?,LLaVA-OV,104,0.0,0.0,42.3,0.0,57.7,42.3,57.7,79.5,Image-dependent
AW_S_05,scene,Is the overall light level sufficient to drive without headlights?,InternVL3,104,0.0,40.4,0.0,59.6,0.0,40.4,59.6,100.0,Image-dependent
